id	sentence_1	sentence_2	similarity
13	ركنت الحكومة مؤخرا محادثات السلام ، والتى تجرى بوساطة ماليزيا المجاورة على  الرف ، ذلك بعد سلسلة من الهجمات في مينداناو، تشمل ثلاثة تفجيرات قاتلة ، وأنها تلقي باللوم على الجبهة .،	ركنت الحكومة محادثات السلام مع الجبهة مؤخرا على الرف ،والتى تجرى بوساطة ماليزيا، ذلك بعد سلسلة من الهجمات، تشمل ثلاثة تفجيرات، في مينداناو.	4.25
14	كان ذلك ارتفاعا من ربع العام الماضي، عندما ربحت الشركة 54,3 مليون دولار، أو 22 سنتا للسهم الواحد.	حققت الشركة خلال الفترة من العام الماضي أرباحا قدرها 54,3 مليون دولار، أو 22 سنتا للسهم الواحد .	4.176
15	جنبا إلى جنب مع بوسطن، ستتبع كل من ووترتاون وساجوس إثنين خالي من التدخين .	انضمت كل من مجتمعات ماساتشوستس للووترتاون، ساجوس وفرامنجهام إلى بوسطن يوم الإثنين .	3.0
16	تم اعتقاله في أتلانتا، جورجيا، مساء الإثنين من قبل الشرطة بناء على معلومات سرية .	تم تتبعه إلى أتلانتا حيث ألقي القبض عليه مساء الثلاثاء.	2.5
17	بدأ جنود إسرائيليون بهدم بؤر استيطانية في الضفة الغربية أمس -  وهو التزام إسرائيلي بموجب خطة سلام جديدة في الشرق الاوسط .	أطاح جنود إسرائيليون منازل متنقلة فارغة وخزانات للمياه في 10 بؤر استيطانية صغيرة في الضفة الغربية الليلة الماضية ،كجزء من خطة سلام في الشرق الاوسط تدعمها الولايات المتحدة.	3.8
18	قالت النقابة أنها ستكشف في وقت لاحق عن السلسلة المستهدفة .	لم يعلن الاتحاد بعد أي سلسلة ستكون المستهدفة .	4.6
19	"""بريئة أم لا""، ""فقد أتلفت البضائع ""هذا ما قاله هوارد دافيتوتز، رئيس شركة دافيدوتزوشركاه، وهي شركة استشارية الوطنية  متجزئة في نيويورك ."	"""تخاصوا منها جميعا "" هذا ما يقوله  هوارد دافيدوتز ، رئيس شركة دافيدوتزوشركاه، وهي شركة استشارية وطنية متجزئة مقرها مدينة نيويورك ."	1.4
20	تشمل المنتجات الجديدة من جانب سطح المكتب أحدث إصدارات بوابة القناة وبوابة برو.	تشمل المنتجات المحدثة بوابة برو، بوابة القناة ، بوابة أي مكان ،وبوابة  خدمة التطبيق .	2.8
21	في نهاية المطاف ربح سكوت ديكسون سيارة هوندا إندي  225التي  تبدو سهلة يوم الأحد في ميدان السباق العالمي بيكس بيك .	من ناحية أخرى كان ديكسون  فئة في الحقل في ميدان السباق العالمي بيكس بيك .	2.8
22	وقال جيم وليامز، مدير مشروع زيارة الولايات المتحدة :أنه بحلول منتصف نوفمبر، سيقوم المفتشون  بأخذ بصمات وصور للعديد من الركاب الأجانب القادمين إلى أتلانتا.	وقال جيم وليامز، مدير مشروع زيارة الولايات المتحدة : أنه بحلول منتصف شهر نوفمبر، سيتم  أخذ بصمات  وصورالعديد من الركاب القادمين في أتلانتا	4.2
23	تقول أنقرة أن المفجرين الانتحاريين الأربعة جميعهم من الأتراك .	قالت السلطات التركية أن جميع المفجرين الانتحاريين كانوا من الأتراك.	4.2
24	كوداك تتوقع أرباحا من 5 سنتات إلى 25 سنتا للسهم الواحد في الربع الثالث.	من المتوقع تحقيق أرباح للعمليات التشغيلية في نيسان في حدود 60 إلى 80 سنتا للسهم الواحد.	1.0
25	احتفل الآلاف من الناس بالقرار ، وتوعدوا بالضغط من أجل المزيد من الحقوق القانونية، بما في ذلك زواج المثليين .	من فلوريدا إلى ولاية ألاسكا، توعد الآلاف من المحتفلين بالضغط من أجل مزيد من الحقوق القانونية، بما في ذلك زواج المثليين .	4.2
26	أدت الحرائق الكبرى إلى إشعال 264،000 فدان في بداية الليلة الماضية.	قبل ليلة الأحد، أحدثت الحرائق سوادا ب 277،000 فدان، على بعد مئات الأميال بعيدا.	2.75
27	الأمم مثل إسرائيل وأستراليا لديهم بالفعل نفس الوضع.	مصر وإسرائيل، وأستراليا هم آخرون لهم نفس الوضع .	2.5
28	سيتم نشر النتائج في مجلة الجمعية الطبية الأميركية وذلك في قضية يوم الأربعاء .	تظهر النتائج في مجلة الجمعية الطبية الأميركية  التي تصدر يوم الأربعاء (مواقع الأخبار).	3.5
29	مهد لh2200 لديه مكان لإعادة شحن بطارية ثانية.	إضافة إلى ذلك، فإن مهد h2210 لديه مكان لشحن بطارية ثانية.	4.75
30	ضربت القوات الأمريكية يوم الإثنين عشرات أهداف ، أسفرت عن مقتل ستة مقاتلين واعتقال 99 آخرين خلال 1،729 دورية و 25 غارة نقذت على مدى 24 ساعة.	قال الجيش أن القوات الأمريكية ضربت يوم الإثنين عشرات الأهداف ، أسفرت عن مقتل ستة مقاتلين واعتقال 21 آخرين.	3.0
31	"استسهل أحد الرجال إلى قاموس إنجليزي-تركي وأشار إلى كلمة"" ""لاجئ"""	"أشار واحد من 14 كرديا إلى كلمة ""لاجئ"" في قاموس  إنجليزي / تركي ."	3.5
32	"قال ""كان التعاون الوثيق بين وكالات تنفيذ القانون الإقليمية وأجهزة الاستخبارات ، قلب المعركة ضد الإرهاب."	"قال السيد هوارد "" أن التعاون الوثيق بين وكالات تنفيذ القانون وأجهزة الاستخبارات تكمن في قلب المعركة الجارية ضد الإرهاب""."	4.0
33	وقعت الجلسة بعد يوم واحد  من إبعاد وزارة الدفاع الأمريكية للمرة الأولى الضابط دلاجر- لفشله في التصدي للفضيحة.	وقعت الجلسة  بعد يوم من  تخصيص وزارة الدفاع الأمريكية للمرة الأولى الضابط، دلاجر، بعدم التصدي للفضيحة	5.0
34	في عام 2006، ستعطي شركة آجا باسيفيك تقريرا عن نمو بنسبة 7.9 في المئة ليصل إلى 81,8 بليون دولار .	تقول المجموعة أنه في عام 2006 سينتعش السوق بنسبة 29.6 في المئة ، ليحقق مقدار21.3 مليار دولار من المبيعات.	2.0
35	قال الكابتن روبرت رمزي من الفرقة المدرعة  الأمريكية الأولى : أن الشاحنة انفجرت خارج المبنى في حوالي الساعة 11 صباحا.	قال الكابتن روبرت رمزي من الفرقة المدرعة  الأمريكية الأولى:  أن الشاحنة انفجرت خارج المبنى حوالي الساعة 11:00صباحا ، وأن أحد  الجدران الخارجية للمجمع قد انهارت.	3.2
36	قالت ب.أ :أن الربع الثاني، الذي شمل إضرابا غير رسمي في مطار هيثرو، كان صعبا	"جاءوا على الرغم مما تسميه ب.أ ""الربع الصعب""، التي  قالت أنه يشمل إضرابا غير رسمي في مطار هيثرو."	3.6
37	في وقت لاحق من هذا العام، سترسل القيادة المدربين مع جنود من أربع دول من شمال أفريقيا في مهام دورية لجمع المعلومات الاستخبارية.	في هذا الخريف الشمالي سيعمل مدربون من الولايات المتحدة مع جنود من أربع دول من شمال أفريقيا ،للقيام بدوريات وجمع المعلومات الاستخبارية.	3.8
38	ألقت  إدارة بوش باللوم ضد موجة من التفجيرات والهجمات التي يشنها المسلحون على الموالين لصدام والمتشددين الإسلاميين الأجانب الذين دخلوا العراق للقتال ضد القوات الأمريكية.	ألقت إدارة بوش باللوم على أنصار صدام حسين والمتشددين الإسلاميين الأجانب ،الذين دخلوا العراق لقتال القوات الأمريكية ،في موجة من التفجيرات وهجمات للمسلحين.	5.0
39	أكد الأطباء المتجولون لاحقا أنه قد كسر ساقه اليمنى قرب الفخذ ،وأصيب أيضا بكسورفي الرسغ والكوع .	تبين لاحقا أنه قد كسر فخذه الأيمن والعظام في رسغه الأيمن والكوع.	4.0
40	من المتوقع أن يدلي سبيتزلاحقا بالشهادة للدفاع .	المؤلف هو واحد من العديد من خبراء الدفاع ، الذي من المتوقع أن  يدلي بشهادته .	3.0
41	"قال الدكتور باتريك بيلوكس  رئيس جمعية فرنسا لأطباء الطوارئ: ""هذا غير مقيول """	"قال الدكتور باتريك بيروكس رئيس جمعية أطباء غرفة الطوارئ : أن ""الأرقام أصبحت كارثية"""	2.5
42	"قال كوفيللو :""ما حدث لك، يا سيدي، على سبيل العقاب، هو بالتأكيد أكثر من كاف"""	"""مهما كان قد حدث لك عن طريق العقاب ،فهو بالتأكيد أكثر من كاف""،هذا ما قاله كوفيللو البالغ من العمر 49 عاما ، الذي شغلت أسرته وأصدقاؤه و مؤيدوه نصف قاعة المحكمة."	3.0
43	ادعت الأم أيضا أنها تعرضت للاعتداء الجنسي من قبل أحد الحراس أثناء الاشتباك عام 1998.	زعمت الأم أيضا في الدعوى أنها تعرضت للاعتداء الجنسي من قبل أحد الحراس.	4.0
44	"""في نيروبي، قال كاهن كاتدرائية جميع القديسين، بيتر كارانجابنفسه أن الكنيسة الأسقفية الأمريكية تبعد نفسها عن الطائفة الإنجيلية"	،قال الكاهن بنفسه  بيتر كارانجا رئيس مجلس كاتدرائية جميع القديسين في نيروبي: أن الكنيسة الأسقفية تبعد نفسها عن الطائفة الإنجيلية'	5.0
45	حلول ذاكرة سبانشن فلاش متاحة في جميع أنحاء العالم من  خلال AMD وفوجيتسو.	نعم، من اليوم ذاكرة فلاش التي يتم  شراؤها من AMD أو فوجيتسو سيتم وصفها بسبانشن .	2.625
46	"""انخفضت المبيعات المحلية  لكل من جنرال موتورز و شركة فورد موتوررقم 2 أكثر مما كان متكهن به  ، كما دفعت موجة المبيعات أواخر الصيف لردة فعل أكبر مما كان متوقعا  في الصناعة."	قال اثنان من أكبر صانعي السيارات في العالم أن مبيعات الولايات المتحدة انخفضت  أكثر مما كان متوقعا الشهر الماضي ، كما تسببت موجة مبيعات أواخر الصيف ردود فعل عنيفة من جهة الصناعة  أكثر مما كان متوقعا.	3.2
47	"""عاصفة استوائية تطورت بشكل سريع في خليج المكسيك يوم الأحد ، ويمكن أن تحمل رياحا بقوة الإعصار عندما تضرب الأرض في أي مكان على طول ساحل لويزيانا ليلة الاثنين."	عاصفة استوائية تطورت بشكل سريع في خليج المكسيك يوم الأحد، حيث كان من المتوقع أن تضرب مكانا ما على طول سواحل تكساس أو لويزيانا يوم الإثنين ليلا .	4.0
48	سوف يتكثف الضغط اليوم، مع التغطية المحلية للجولة النهائية التي خططت لها ESPN والكلمات التي هي أكثر صعوبة.	قد يرتفع الضغط بشكل جيد يوم الخميس، مع التغطية المحلية للجولة النهائية التي خططت لها ESPN، شبكة كابل الألعاب الرياضية.	3.2
49	"""قال رئيس ليبا ريتشارد كيسيل: هذا يعني أن الكابل يمكن أن يستخدم"" ""كما نراه مناسبا."	أشاد باتاكي بقرار إبراهيم، وقال رئيس ليبا ريتشارد كيسيل : يجب أن يبقى الكابل في العملية بشكل دائم.	2.4
50	جزء رئيسي من الاتفاق كان تنفيذ مجلس خاص لمراقبة الإنفاق على الرعاية الصحية، وتحديد الأهداف للنظام وقياس التقدم المحرز في إصلاح الرعاية الصحية.	جزء من الاتفاق كان تنفيذ مجلس الصحة الخاص الذي من شأنه  مراقبة الإنفاق على الرعاية الصحية والتقدم في إصلاح النظام الصحي.	4.4
51	مكث داين في جامعة كاليفورنيا في سان دييغو منذ عام 1991 بعد أن أمضى 22 عاما في مختبرات بيل  AT & T ، حيث عمل على الموصلات الفائقة وغيرها من المواد.	جاء داين لجامعة كاليفورنيا في سان دييغو في عام 1991 بعد مرور22 عاما من عمله كفيزيائي في مختبرات بيل AT & T .	3.6
52	انخفضت أسهم الخطوط الجوية البريطانية ثلاثة في المئة، أي 165-1 / 4 بنسا في الساعة 09:33 بتوقيت جرينتش ،أي أقل  من 164 بنسا، في سوق أقوى	انخفضت أسهم الخطوط الجوية البريطانية بنسبة 1.5 في المئة ، أي 168 بنسا ،في تمام الساعة 14:20 بتوقيت جرينتش ،  أي أقل من 164 بنسا، بشكل أقوى قليلا في سوق لندن العام .	2.4
53	عدد سكان المقاطعة من البرتقالي المائل للحمرة، البوسي و الماديسون سوف ينخفض.	ستضم المقاطعات مع انخفاض عدد السكان البرتقالي المائل للحمرة، البوسي والماديسون.	5.0
54	قضت قوانين كل من مجلسي النواب والشيوخ على إنهاء الحظر المفروض على البحث والتطوير في الأسلحة النووية ذو العائد المنخفض.	وافق مجلس الشيوخ الثلاثاء على رفع الحظر المفروض والذي مدته 10 سنوات ، وذلك في مجال بحث وتطوير  الأسلحة النووية ،ذو العائد المنخفض.	3.6
55	التهاب السحايا هو التهاب في السائل الموجود  في الحبل الشوكي و ما وحول الدماغ للإنسان .	التهاب السحايا هو التهاب  في سائل الحبل الشوكي والأنسجة المحيطة بالمخ.	4.6
56	ذكرت وكالة أسوشيتد برس أن كل من شركات، تشيرون وأفنتيس باستور، عملوا  معا على إنتاج حوالي 80 مليون جرعة من حقن اللقاح،و الذي يكفي عادة لتلبية الطلب في الولايات المتحدة.	صنعت كل من شركات، تشيرون وأفنتيس باستور، معا حوالي 80 مليون جرعة من حقن اللقاح،و الذي يكفي عادة لتلبية الطلب في الولايات المتحدة.	4.4
57	قال رئيس البلدية جو ت. باركر :العمال المفقودون الذين كانوا داخل المبنى عندما وقع الانفجار الأول هم رجلان وامرأة .	قال رئيس البلدية جوت. باركر مساء الخميس أن العمال الثلاثة كانوا رجلين وامرأة ، حيث كانواداخل المبنى عندما وقع الانفجار الاول.	4.4
58	"قال مسؤول  المجلس ومقره لندن، علي صفوي، لرويترز عبر الهاتف: ""نحن ندين هذا الهجوم، الذي هو برأينا غير قانوني ،ولا يمكن تبريره  سياسيا ولا أخلاقيا."""	"قال مسؤول  المجلس ومقره لندن، علي صفوي، لرويترز: ""نحن ندين هذا الهجوم، الذي هو برأينا غير قانوني ،ولا يمكن تبريره  سياسيا ولا أخلاقيا."""	4.6
59	اكتشف المحققون وجود شظية داخل عظمة بطول 4 بوصة ليلة الخميس، لكن السلطات قالت أنها عظمة حيوان.	اكتشف المحققون وجود  شظية بطول4 إنشات ،وذلك  داخل عظمة كانت تحت بلاطة اسمنتية يوم الخميس، إلا أنه تبين أن تكون عظام حيوانات.	4.4
60	الرسالة عبارة عن قنبلة ، تم إرسالها إلى برودي الذي انفجرت بين يديه لكنه لم يصب بأذى.	انفجرت بين يديه، ولكن رئيس الوزراء الإيطالي السابق لم يصب بأذى.	3.6
61	ما يقرب من نصف مجموع الأسرفي الولايات المتحدة لديهم أموال في صناديق الاستثمار المشترك.	نحو 95 مليون أميركي - نصف الأسر -يستثمرون في صناديق الاستثمار المشترك.	4.2
62	نفى المحامي جيمس كي الثالث الذي يمثل الحلبي ، نفى هذه الاتهامات،ذلك وفقا لأسوشيتد برس .	نفى المحامي العسكري الحلبي في سلاح الجو، الميجور جيمس كي، الاتهامات التي يمكن أن تحمل عقوبة الإعدام.	3.2
63	كان شوارتز قد سعى لرفض الاتهام ، قائلا إن نيو هامبشايركان المكان الخطأ لتوجيه الاتهام له.	قال شوارتز، الذي اتهم في فبراير الماضي، بأن نيو هامبشاير كان المكان الخطأ لاتهامه.	3.4
64	اعتذروسكال للمحكمة، وموظفيه وعائلته، ذلك طلبا منه للتساهل .	"قال وسكال برسالة إلى المحكمة: "" مزقت عائلتي إربا ."	2.0
65	قال :منذ أوائل مايو، تلقت المدينة 1400 تقريرا .	قال جاير:تلقت المدينة منذ أوائل مايو، 1400 تقريرا عن الغربان الزرقاء الميتة.	2.8
66	"""قالت منظمة فورست للحق في التمتع بتدخين التبغ، أنها استقبلت دعوة لانسيت ل"" ""التسلية والكفر"""	لكن فورست، منظمة الحرية للحق في التمتع بتدخين التبغ، قالت: '' أذكروا كلمة حظر، ليعرف الجميع ماذا حدث هناك.	1.6
67	أقر مجلس النواب مشاريع قوانين آخر مؤتمرين ، ولكن مجلس الشيوخ لم يفعل ذلك.	 أقر مجلس النواب في آخر دورتين  المشروعية لوصفة طبية ، لكن مجلس الشيوخ لم ينجح في إقرارها.	3.4
68	يعطي الاستثمار  لشركة لاركسبور، مقرها في كاليفورنيا شركة باي ستار ، أكثر من 2.9 مليون سهم من الأسهم المشتركة لمنظمة شانغهاى للتعاون، أو 17.5 في المئة من أسهم الشركة غير المسددة.	فور تحويلها،  سوف تمتلك شركة باي ستار مجموع ما يقرب من 2,95 مليون سهم من أسهم شركة شنغهاي للتعاون المشتركة المنظمة ،أو 17.5 في المئة من أسهم الشركة غير المسددة.	4.0
69	لكنها يمكن أن تكون قاتلة  لكبار السن والذين يعانون من ضعف في جهاز المناعة .	تم حث كبار السن ،والذين يعانون من ضعف في جهاز المناعة أيضا للحماية من لدغات البعوض.	2.6
70	"""تم افتتاح ستة محلات كريسبي كريم الجديدة في الربع الأول، ليصل العدد الإجمالي للمخازن إلى 282."	افتتحت شركة وينستون-سالم، الواقعة شمال كارولينا ستة مخازن خلال الربع، ليصل المجموع إلى 282.	3.0
71	"قال إيزيل :""ما أفهمه من هذا هو أن هناك نسبة أقل من عمليات الإشباع الناجحة مع التجميد"""	"قال توماس إزيل ،محامي السيدة لافرتي، لصحيفة كنتاكي: ""ما أفهمه من هذا هو أنه هناك نسبة أقل من عمليات الإشباع ناجحة مع التجميد ."	3.6
72	"""طلبت لجنة التجارة الاتحادية من الكونغرس بالأمس سلطات أوسع لمهاجمة المشكلة المتفاقمة بشكل سريع من البريد المزعج، والتي تظهر دراسات جديدة أنها حسابات النصف من مجمل حركة البريد الإلكتروني."	طلبت لجنة التجارة الاتحادية (FTC) من الكونغرس اليوم ،سلطات إضافية لمكافحة  بريد الإنترنيت المزعج وغير المرغوب ،و الذي يصل  الآن إلى  أكثر نصف مجمل حسابات البريد الإلكتروني.	5.0
73	في المسح الأخير من عام 1995، كانت تلك الأرقام متساوية.	في آخر مرة تم فيها إجراء المسح، عام 1995، تم تطابق تلك الأرقام.	5.0
74	قال مسؤولون فيدراليون: ظلت الوثيقة مغلقة حتى صباح يوم الخميس ،للسماح للسلطات القيام بالاعتقالات في خمس ولايات غربية.	قامت هيئة محلفين اتحادية كبرى يوم الثلاثاء بتوجيه الاتهام لهم ، ولم يتم ختم الوثيقة حتى يوم أمس للسماح للسلطات القيام بعمليات الاعتقال.	3.4
75	"""ما يحدث هنا ،هو أن الناس الذين عارضوا هذا العمل في جميع الأنحاء، يحاولون إيجاد أسباب جديدة لماذا لم يكن الشيء الصحيح الذي ينبغي عمله."""	"الناس الذين عارضوا هذه الأعمال في جميع الأنحاء يحاولون الآن إيجاد أسباب جديدة للقول بأن  هذا لم يكن الشيء الصحيح الذي ينبغي عمله ""."	4.0
76	اعتقل كلارمن من قبل وكلاء مكتب التحقيقات الفدرالي صباح الاثنين في منزله في نيويورك.	اعتقل كلارمن من قبل وكلاء مكتب التحقيقات الفدرالي في هامبتونز، وهو مصيف القطاع الشرقي الوحيد لمدينة نيويورك.	4.0
77	أخبر المطران أوبراين، البالغ من العمر67 عاما الشرطة أنه يعتقد أنه ضرب كلبا أو قطة.	قال المطران للشرطة انه يعتقد انه ضرب كلبا أو قطة أو أن أحدهم قد ألقى صخرة في سيارته.	3.5
78	"وقال غارتنر ""سيكون هناك 9.3 مليون زائر إلى المناطق الساخنة في عام 2003، بارتفاع من 2.5 مليون في عام 2002."	يزعم التقرير أيضا أنه  سيكون هناك ارتفاع يصل إلى 9.3 مليون زائر إلى النقاط الساخنة هذا العام، بزيادة ضئيلة مرة أخرى بنسبة 2.5 مليون في عام 2002.	4.5
79	ريتشارد ميلر (57 عاما)بقي على قيد الحياة بعد عملية زرع كبد منقذة للحياة ،لكنه لا يزال في المستشفى.	مكث ريتشارد ميلر في المستشفى بعد خضوعه لعملية زرع كبد، بينما تعافت زوجته.	3.2
80	لم يتمكن المتحدث باسم منظمة شانغهاى للتعاون الوصول للتعليق بعد ظهر هذا اليوم.	لم يتسن على الفور للممثلين المتعاقبين الوصول للتعليق على إعلان منظمة شانغهاى للتعاون.	3.8
81	"""انخفضت نسبة الأميركيين العاملين ممن لديهم تأمين إلى 61.3 في المئة، من 62.6 في المئة في عام 2001 و 63.6 في المئة في عام 2000."	انخفضت نسبة السكان  المتمثلة  بأرباب العمل من 62.3 في المئة في عام 2001 إلى 61.3في المئة في العام الماضي.	3.2
82	قضت المحاكم الاتحادية أن التمثال التذكاري ينتهك الحظر الدستوري ضد الدين المؤسس للدولة.	حكمت المحاكم العليا أن أجهزة لوحية اقتحمت الفصل الدستوري بين الكنيسة والدولة.	4.0
83	تم حث الأسر العالقة على الطريق السريع إلى البقاء في سياراتها، واستخدام الهواتف المحمولة الخاصة بهم فقط في حالة الطوارئ.	ظلت العائلات عالقة في سياراتها على الطريق السريع ، وتستخدم هواتفها المحمولة  لإجراء المكالمات الخاصة بمنازلهم.	3.0
84	"قال ""أاعترف بأنني تصرفت بشكل غير لائق """	"بصدد الحادث، أعترف بأنني تصرفت بشكل غير لائق ""."	4.25
85	"إن  الصناديق مليئة بالنسخ ذات التغليف القوي من"" ""هاري بوتر وجماعة العنقاء""."	"ملصق ترويجي، بدأ العد التنازلي لاستكماله ، يذكر القراء بالهوية القادمة ل ""هاري بوتر وجماعة العنقاء""."	1.5
86	"أضيف أنه كان"" ""متعاونا بشكل كامل"" ""مع الشرطة منذ شهر نوفمبر."	"قال متحدث : ""منذ شهر نوفمبر، ونحن متعاونون بشكل كامل مع الشرطة."	4.25
87	الناس الذين كان يعتقد سابقا أن ضغط الدم لديهم على ما يرام ، في الواقع هم بحاجة للبدء بممارسة التمارين الرياضية وتناول الطعام بشكل أفضل،هذا وفقا للمبادئ التوجيهية الأمريكية الجديدة التي نشرت يوم الاربعاء.	الناس الذين كان يعتقد سابقا أن ضغط الدم لديهم على ما يرام، في الواقع قد يكونوا في طريقهم إلى ارتفاع ضغط الدم ، ذلك في إطار المبادئ التوجيهية الجديدة للولايات المتحدة التي نشرت يوم الاربعاء.	3.0
88	"قال : ""لكن في هذه المرحلة، ونظرا للكشف المبكر، يمكن أن تكون التوقعات في مثل هذه الحالات إيجابية""،"	"قال بالأمس المتخصص ""مازال جاريا عمل المزيد من الاختبارات ، ولكن في هذه المرحلة، وبالنظر إلى الكشف المبكر، فإن التوقعات في مثل هذه الحالات أن تكون إيجابية"	3.5
89	أقرت فعلا  وكالة أمازون ومكتب المدعي العام في نيويورك أحد مزورين البريد الإلكتروني.	ذكرت وكالة أمازون أيضا أن مكتب المدعي العام في نيويورك أقر تهم الاحتيال المدنية مع تحديد واحدة منها .	3.75
90	فقد تم إخضاعهم لمزيد من الفحوص خلال عطلة نهاية الأسبوع، حيث يقبعون الآن في مستشفى رافلز.	كانوا خلال عطلة نهاية الأسبوع في مستشفى رافلز وذلك لعمل مزيد من التقييم.	3.2
91	"""في نيويورك، ارتفع مؤشر داو جونز الصناعي الذي يعادل30 سهما ممتازا بقيمة 3.29 نقطة أو 0.04 في المئة ليصل إلى 8،585.97."	ارتفع مؤشر داو جونز الصناعي ذلك وفقا للتداولات الصباحية بنسبة 40.12، أو 0.5 في المئة ، ليصل إلى 8،571.69، بانخفاض51 نقطة ،يوم الإثنين.	1.75
92	متوسط الخطأ في المسار لمدة خمسة أيام (حسب التوقعات) هو 323 ميلا بحريا.	قال فرانكلين:  كان الخطأ في التوقعات لمتوسط خمسة أيام بالنسبة لموسم كامل هو 259 ميل.	1.75
93	ضاعفت وسائل الإعلام  الغنية ،المتخصصة في أشكال الإعلانات ،حصتها من 3% في الربع الثاني من عام 2002، إلى 6% في الربع الثاني من عام 2003.	ضاعفت وسائل الإعلام الغنية حصتها، بزيادة من 3% في ق2 من سنة 2002، إلى 6% في ق2 من سنة 2003 .	3.75
94	"قال السيد بيرك:"" ""بالنطر إلى الظروف ، كان هبوطا مخططا له"""	"قال بيرك :يبدو من التقرير الأولي لدينا ،وبالنظر إلى الظروف ، أن هذا الهبوط هو هبوط مخطط له .""،"	4.0
95	أغلقت أسهم شركة أليجانت يوم الأربعاء على 23.40 دولار، بزيادة 64 سنتا، هذا في تداولات سوق ناسداك.	ارتفعت أسهم أليجانت في بورصة ناسداك بنسبة4 دولارات، أو 17.2دولارفي المئة ، لتصل إلى 27.43 دولار، في  التداولات الصباحية من يوم الخميس	2.0
