id	sentence_1	sentence_2	similarity
27	একজন দুখী মানুষ অন্য প্রান্তে তার সঙ্গীকে দেখতে একটি জলপ্রবাহের উপরে লাফাচ্ছে।	একজন মানুষ অন্য প্রান্তে তার সঙ্গীকে দেখতে একটি প্রবাহের উপরে লাফাচ্ছে।	3.8
28	ছেলে গুলো কারাতে তে তাদের পরবর্তী বেল্ট অর্জন করছে।	পাঁচ মেয়ে এবং এক ছেলে সাতারের পোশাক এ আছে আর সবাই পুকুর এ লাফ দেয়ার জন্য প্রস্তুত।	0.2
29	এক মহিলা বালির মধ্যে খনন করছে	একটি মানুষকে বালির মধ্যে কবর দেয়া হয়েছে।	1.4
30	একটি মহিলা একটি গলফ কার্ট চালাচ্ছে।	একজন মানুষ একটি কার্ট গাড়ীতে চরছে।	1.8
31	একটি মহিলা বানজি জাম্পিং করছে।	একটি মেয়ে বানজি জাম্পিং করছে।	4.2
32	একটি ভাঁড় তার ভাই এবং বোনের জন্য অভিনয় করছে আর তা অনুষ্ঠানের সকলে দেখছে	একটি স্বর্ণকেশী শিশু একটি বাড়ির সামনে শিঙা সঞ্চালনের সময় তার অভিনয় করছিল যখন তার ছোট ভাই তাকে দেখছিল।	1.2
33	একটি ব্যক্তি বাহিরে চিত্রগ্রহণ করছে।	বাইরে একটি দম্পতি আছে।	1.6
34	একজন মানুষ একটি স্কেটবোর্ডে ছড়ছে	একটি শিশু একটি স্কেটবোর্ডের ওপর চড়ছে।	3.8
35	একটি কম্বল পরিধানরত মহিলা একটি থলের মাধ্যমে খুঁজছিল।	এটি একটি ফুলের পোশাক পরিধারত একটি মহিলার ছবি, যে একটি  কৌটার মধ্যে কিছু  বহন করছিল।	1.0
36	চারটি মেয়ে খুশি মনে একটি ফুটপাথ দিয়ে নিচে নামছিল	তিনটি অল্পবয়সী মেয়ে একটি ফুটপাথ দিয়ে নিচে নামছিল।	3.4
37	টেনিস প্লেয়ারটি সীমানার বাইরের বলটি আঘাত করে এবং মৃত্যু তারকাটি ভেঙ্গে দেয়।	একটি মহিলা টেনিস খেলোয়াড় শূন্যে লাফ দেয় বল আঘাত করতে।	1.2
38	একটি ছেলে একটি বন পাহাড়ে আরোহণ করে।	একটি ছেলে একটি পাহাড়ে আরোহণ করছে।	4.0
39	নৌবাহিনীর একটি দল গাইছে	সামরিক বাহিনীর একটি দল একটি বড় বাঁশি বাজাছে।	2.4
40	স্বর্ণকেশী ছেলে পাটতনের সামনে লাফাচ্ছে	একটি ছেলে একটি ভেজা অসম স্লাইডে লাফাচ্ছে।	2.0
41	একটি মানুষ একটি করাত ব্যবহার করছে একটি অভিনব বরফের ভাস্কর্য বানাতে।	একটি মানুষ একটি কাঠের ভাস্কর্য খোদাই করতে একটি করাত ব্যবহার করছে।	2.6
42	পুরুষ নির্মাণ শ্রমিকদের একটি দল এক মেঘলা দিনে রেলপথ ট্র্যাক মেরামত করে	এক দল কর্মীরা রেলপথে কাজ  করছে।	3.8
43	একজন মানুষ বর্ষায় বেহালা বাজাচ্ছে 	একটি মানুষ বৃষ্টির মধ্যে গিটার বাজাচ্ছে।	3.2
44	মানুষেরা বিমান থেকে বের হয়ে যাচ্ছে।	মানুষেরা বিমানে ঢুকছে।	2.2
45	কুকুরটি একটি বিড়ালের পেছনে ছুটছে	কুকুর একটি কালো বিড়ালকে তাড়া করছে।	4.4
46	মেয়েটির মাথার উপর কিছু একটা আছে।	মহিলাটির সাথে কিছু একটা আছে।	2.6
47	তামাটে কুকুরটি বাহিরে তুষার মধ্যে লাল কুকুরটির সাথে খেলছে।	একটি হলুদ কুকুর তুষারের মধ্যে খেলছে।	2.6
48	মানুষ তাসের একটি কাঠামো তৈরী করছে।	দুইজন মানুষ একসঙ্গে এবং কেউ একজন ইচ্ছা করে অন্য়ের তুলনায় ভিন্নভাবে পোশাক পরিধান করেছে।	0.2
49	ফুলদানি সঙ্গে একটি মেয়ে তার বাড়ির ভিতরে পটভূমিতে আছে।	চশমা পড়া মেয়েটি দাড়িয়ে  আছে অন্য মেয়েটির মত আর নিজ হস্ত শিল্পে কাজ করছে।	0.2
50	বাইরে চারজন মানুষ আছেন	পাঁচজন লোক বাইরে আছেন	3.0
51	একটি অফিসে বসে একজন ব্যক্তি একটি ছবি তুলছেন	একটি মহিলা একটি অফিসে বসছেন।	3.2
52	 নীল জামা পড়া মেয়েরা হাতে হাত ধরে আছে	তরুণরা তাদের লাল এবং সবুজ শার্ট এর সাথে জিন্স পরিধান করছে।	1.8
53	মানুষ যখন মাছ ধরতে যায় তখন পিছন দিকে থেকে অন্য মানুষেরা পানিতে ঝাঁপিয়ে পড়ে।	দুইজন মানুষ পানি দেখছে	2.2
54	একজন মানুষ কাদামাটি দিয়ে কীভাবে কাজ করে তা দেখাচ্ছে, তখন কমপক্ষে দুইজন লোক তা অনুধাবন করে।	অন্তত তিনজনের মধ্যে একজন মহিলা অন্যজনের সাথে কথা বলে।	0.6
55	একটি কুকুর একটি সোয়েটার পড়ে আছে।	মানানসই জ্যাকেটে একটি মানুষ একটি বিড়াল সঙ্গে একটি লাল পালঙ্কের উপর বসে আছে।	0.6
56	একটি স্বর্ণকেশী মহিলা একটি স্যুটকেসে চিকিৎসার  জন্য জিনিসপত্র খুজছেন	স্বর্ণকেশী মহিলাটি একটি স্যুটকেসের মধ্যে চিকিৎসা সরবরাহের জন্য অনুসন্ধান করা হয়।	5.0
57	একটি ছেলের স্কুলে পরীক্ষা নেয়া হচ্ছে।	স্কুলে ছেলেটির পরীক্ষা নিচ্ছে।	5.0
58	একটি টুপি পরা বয়স্ক মানুষ একটি দোকানের দরজার বাইরে দাঁড়িয়ে আছে।	 বড় মাপের শার্ট পড়া একটি মানুষ একটি দোকানে বসে আছে।	2.2
59	ভাস্কর্য নির্মাতা কংক্রিট ব্যবহার করছেন একটা বিরাট মাথাহিন দাড়িয়ে থাকা মানুষ আকৃতির মূর্তির ওপর।	একটি ব্যক্তি একটি প্লেইউড নিয়ে উচ্চমানের একটি বিল্ডিং সামনে দাঁড়িয়ে আছে	0.2
60	কালো চুলের একটি ছেলে পানিতে আছে এবং তাকে খোঁজা হচ্ছে।	মানুষটির  চুল ছোট। 	0.6
61	একটি ব্যক্তির পিছনে একটি খুঁটি আছে যে একটি শিশুর সঙ্গে লুকোচুরি খেলছে।	সেখানে একটি  শিশু বলের সঙ্গে আছে।	0.2
62	একটি মহিলা আঁকতে যাচ্ছে।	একটি ছেলে একটি ছবি নিতে যাচ্ছে।	1.0
63	রেলগাড়ীর  কামরাটি একটি ঘোড়া দ্বারা টানা হচ্ছে।	একটি মানুষ সাইকেলে চড়ে দালান এর পাশ দিয়ে যাচ্ছে।	0.4
64	একজন মানুষ একটি ইস্পাত কারখানায়  কাজ করছে 	একজন মানুষ একটি ঢালাইয়ের কারখানায়  কাজ করছে	3.4
65	যুবতী যুবক ছেলেটির সাথে প্রেমের ভান করছে	মেয়েটি তরুণ এবং চিত্তাকর্ষক।	1.4
66	একটি মহিলা একটি হাঁস দেখতে পেয়েছে যখন সে তার পিছন দিয়ে হাটে যাচিছল।	একটি মহিলা তার কুকুরের সঙ্গে হাঁটে যাচ্ছে।	1.0
67	পুরুষগুলো ওয়াটার পোলো টুর্নামেন্ট  স্কোর করতে যাচ্ছে	দুই পুরুষ একটি ম্যাচ প্রতিদ্বন্দ্বিতা করতে যাচ্ছে।	2.0
68	এক মানুষ বেঞ্চ এ বসে মগে করে পানি খাচিল কম্বল দিয়ে জরান অবস্থায়।	একজন লোক দুইটি লাল বেঞ্চে্র মধ্যে একটিতে বসে আছে এবং একটি কিয়স্কের দিকে তাকিয়ে আছে।	2.2
69	অনেক রাতে একজন মানুষ পপকর্ন খাচ্ছিল যখন সে কার্টুন দেখছিল।	একটি মানুষ এবং একটি মেয়ে বাড়িতে কার্টুন দেখছিল	2.8
70	তিনজন পুরুষ একটি বেঞ্চে বসে আছে।	দুটি পুরুষ একটি বেঞ্চে বসে আছে	3.2
71	রাস্তাটি দীর্ঘ	রাস্তার পাশে কিছুই নেই	0.8
72	 একটি স্বর্ণকেশী যুবক পিছলে প্রথমে নীল মাঠে পরল তারপর পিছলে আবার এক স্বর্ণকেশী নবীনের কাছ এ পরল।	 খারা চুলের আক যুবক ছেলে বিল স্লাইড এ করে নিচে স্লাইডইং করছে।	2.0
73	চারটি নারী একটি আসন্ন ম্যাচের জন্য অনুশীলন করছে।	নারীটি  খেলায় আছে।	1.2
74	একটি সাদা টি-শার্ট পরা এবং সবুজ এবং কালো শর্টস পরা একটি যুবক স্ট্যাম্পের কাছে দাঁড়িয়ে আছে ।	একটি সাদা শার্ট এবং লাল এবং কালো শর্টস পরা একটি মানুষ ফুটপাথ দিয়ে দউরাচ্চে।।	1.8
75	 মানুষটি পদক্ষেপ নিতে যাচ্ছে	একটি মানুষ সিঁড়িতে বসে পড়েছে।	4.0
76	সিঁড়ির নিচে একটি কুকুর	একটি কুকুর সিঁড়ি উপর বিশ্রাম করছে।	2.2
77	একটি অল্প বয়স্ক মেয়ে আছে	মহিলার সঙ্গে একটি ছোট ছেলে আছে	1.0
78	দুটি নারী একটি নবীন বরণ অনুষ্ঠানে একটি আয়জন প্রদর্শন করছে।	দুটি মানুষ একটি নবীনবরণ অনুষ্ঠানে একটি আয়জন প্রদর্শন করছে	4.2
79	একটি মহিলা একটি বৃহৎ দালানের একটি ছবি আঁকবে যা পটভূমিতে দেখা যাবে।	একজন ব্যক্তি একটি বৃহৎ দালানের একটি ছবি আঁকবে যা পটভূমিতে দেখা যাবে।	4.2
80	কিছু লোক একটি কোচে বসে টেলিভিশন দেখছে।	একটি লোক একটি কোচে বসে টেলিভিশন দেখছে	5.0
81	একটি নারী একটি ক্রিসমাস কার্ড এর জন্য অঙ্গবিন্যাস করছে।	একটি মেয়ে একটি ছবি নিচ্ছে।	1.2
82	দুইটি বাচ্চা ফুসবল এর একটি খেলা খেলছে	বাচ্চারা একে অপরের সাথে খেলা খেলছে।	3.4
83	মানুষটি একটি নির্জন স্থানে আছে।	মানুষটি ক্ষেত্রের বাইরে আছে।	4.0
84	একটি ছোট ছেলে একটি সরবতের প্যাকেট থেকে পানীয়  পান করছে।	একটি ছেলে একটি সরবতের প্যাকেট থেকে পানীয়  পান করছে	4.8
85	একটি মানুষ তার স্কি প্রস্তুত করছে হয় মাঠ  এ বরফের মধ্যে যাওয়ার জন্য	একটি নৌকা একটি মানুষ তার ধরার মধ্যে কি আছে তা দেখতে তার জাল টানার জন্য  প্রস্তুত হচ্ছে।	0.4
86	মোটরসাইকেল চালক বিপজ্জনক কর্মপ্রচেষ্টা করছে।	মোটরসাইকেল চালক কর্মপ্রচেষ্টা করছে	4.4
87	একটি সঙ্গীতশিল্পী একটি কনসার্টে তার সাদা গিটার উপরচ জ্যাম বিছুরিত করছে	একটি প্যারেড দলে বাঁশি বাজক তার নিজের বাদ্যযন্ত্র বাজাচ্ছে।	0.4
88	একজন মানুষ তার খামারে কাজ করছে।	একটি বয়স্ক লোক তার খামারে কাজ করছে এবং একটি গাভী তাকে লাথি মেরেছে।	2.8
89	টি-শার্টে অল্প বয়স্ক জোড়া সংখ্যক ছেলেরা বনের মধ্যে লুকিয়ে আছে ভয়ে ভয়ে।	দুটি হাস্যরসী মেয়ে অন্য মানুষদের সঙ্গে একটি ঝরনার মধ্যে খেলা করছে।	0.0
90	ভিড়ের সামনে এক দল মানুষ ফুটবল মাঠে ফুটবল খেলছে।	পুরুষদের একটি দল খেলার মাঠ ভর্তি জনগণের সামনে ফুটবল খেলছে ।	3.0
91	একটি মানুষ তিনজন এশিয়ান শিশুদের নাচ উপভোগ করছে	একজন পুরুষ তি্নজন এশিয়ান বাচ্চাদের নৃত্য দেখছে।	4.6
92	একটি মেয়ে একটি মুঠফোনে তার বাবার সাথে কথা বলছে।	একটি মেয়ে তার মুঠফোনে কথা বলছে।	4.4
93	একজন ব্যক্তি একটি ছাতা নিয়ন্ত্রিত করছে	একজন ব্যক্তি ছাতা ধরে রেখেছেন	4.4
94	একটি মহিলা একটি মহাসড়কের পাশ দিয়ে হাঁটছে।	একটি মানুষ একটি সেতুতে এক পায়ের উপর দাঁড়িয়ে আছে	0.4
95	কিশোরদের একটি দল লাফাছে এবং ভাল সময় অতিবাহিত করছে।	একটি বাচ্চাদের দল একটি ভাল সময় অতিবাহিত করছে ।	3.6
96	 একজন মানুষ একটি রদুজ্জল দিনে এয়ারপোর্টে একটি ট্যাক্সি ডাকেছে।	একটি মানুষ জুলাই মাসের এক দিনে বাহিরে আছে।	1.4
97	একজন মানুষ জো ক্যাফেতে তার গিটার বাজাচেছ	মানুষটি তার মায়ের জন্য তবলা বাজাচেছ।	1.2
98	একটি ছোট ছেলের একটি লাল রঙের মাছ ধরার বঁড়শি আছে।	একটি যুবক একটি মাছ ধরার বঁড়শি সঙ্গে একটি সেতুর উপর দাঁড়িয়ে আছে।	3.0
99	একটি খেলোয়াড় একটি বল বড়াই করেছে।।	একটি খেলোয়াড় একটি বল ধরছে।	1.6
100	কেউ  কম্বলের উপর আছে।	ব্যক্তিটি একটি কম্বল তৈরি করছে	1.4
101	পুরুষরা প্রতিদ্বন্দ্বিতা করছে একটি প্রতিযোগীতার মধ্যে	দুই মহিলা একটি প্রতিযোগিতায় প্রতিদ্বন্দ্বিতা করছে।	2.4
102	কুকুরছানা বহিরঙ্গনে আছে	প্রিন্ট বোর্ড শর্টসে একটি মানুষ সমুদ্র সৈকতে যোগব্যায়াম করছেন।	0.0
103	মানুষটির একটি কমলা শার্ট আছে।	মহিলাটির একটি কমলা শার্ট আছে।	3.4
104	ভুগরবস্থ পথের দোকানে বিক্রি করা পণ্যের দিকে দুটি বাচ্চা চেয়ে আছে ।	বাচ্চারা একটি দোকান থেকে চুরি করছিল।	0.8
105	বাচ্চা ছেলেটি তার মাকে চায়।	একটি শিশু ছেলে তার মাকে দেখতে পেয়ে খুশি হয়েছে।	2.8
106	একটি গোলাপী জ্যাকেট পরা একটি যুবতী একটি বোর্ড খেলা খেলছে।	জ্যাকেট পরা একটি বালক খেলছে।	1.6
107	একটি নীল এবং কালো ডোরাকাটা শার্ট পরা একটি হাসিখুশি কাশ্মীরি পুরুষ একটি ছবির নিতে প্রস্তুত ।	একটি সাদা শার্ট এবং কালো প্যান্ট পরিধানরত একটি  মানুষ হাসছে।	1.6
108	একটি ব্যক্তি একটি শিলা প্রাচীর পরিমাপ করছে।	একটি ব্যক্তি এবং একটি ঘোড়া একটি বেড়ার  উপরে আছে।	0.2
109	একটি ছেলে একটি মেয়ে খুব কাছাকাছি  আছে	একটি মেয়ে একটি ছেলের কাছাকাছি আছে যার মুখ দেখানো হচ্ছে না ।	3.2
110	দুইজন পুরুষ একসঙ্গে আঁচড় কাটার একটি খেলা খেলছে।	 মহিলা দুটি একটি খেলা খেলছে	2.2
111	ছয় শিশু একটি রুম পরিষ্কার করছে।	দুইটি পুরুষ শিশু একটি পার্কিং লটের মধ্যে পাতা পরিষ্কার করছে।	1.6
112	মেয়েটি খুব দক্ষ এবং অনেক অনুশীলন করে।	মানুষটি খুব দক্ষ।	2.0
113	অনেক রক্ষীরা একটি দউর প্রতিযোগীতার শুরু লাইনের সামনে দাঁড়িয়ে আছে	ব্যবসাই পোশাকে দুটি পুরুষ একটি রাস্তা পাশে দাঁড়িয়ে আছে।	0.4
114	একটি রাঁধুনি রান্না প্রস্তুত করছে।	একটি রাঁধুনি খাদ্য তৈরি করছে	5.0
115	দুজন মানুষ একটি ছেলেকে সাহায্য করছে	দুটি পুরুষ একটি ছোট শিশুর সাথে আছে।	3.6
116	একজন মানুষ কৃষকদের বাজারে আছে	একজন মানুষ কৃষক বাজারে আছে।	4.8
117	চারজন লোক একটি মিনারের দিকে এগোচ্ছে	দুইজন পুরুষ একটি গম্বুজ আকৃতির দালানের দিকে হাঁটছে।	2.0
118	একটি ছোট মেয়ে এবং ছেলে বই পড়ছে	একটি বড় বাচ্চা একটি পুতুল সঙ্গে  খেলছিল যখন সে আক দৃষ্টিতে জানালার বাহিরে দেখছিল,	0.2
119	শিশুটি সাঁতার কাটতে পছন্দ করত	শিশুটি সাঁতার কাটতে চায়।	3.8
120	দুই স্কিইং মানুষ ক্রাশ দেশ স্কি করছেন।	মানুষ ক্রস দেশ স্কি কড়ছে	3.6
121	একটি কুকুর রাস্তায় মল ত্যাগ করছিল	একটি মানুষ রাস্তার কোণে দুই শিশুর জন্য বেলুন দিয়ে প্রাণী তৈরী করছিল।	0.4
122	পুরুষরা বাস্কেটবল খেলাটির পরে মারামারি করছিল।	পুরুষেরা বাস্কেটবলের একটি খেলা খেলছিল।	2.2
123	একটি বাচ্চা ক্লাসে কথা বলছে।	একটি মেয়ে ক্লাসে যাচ্ছে।	1.8
124	নারীরা ব্যক্তিগতভাবে কিছু  বিক্রি করার চেষ্টা করছে।	পুরুষেরা কিছু টাকা উপারজনের চেষ্টা করছেন।	1.2
125	আতশবাজি শুরুর জন্য লোকেরা অপেক্ষা করছে।	বৃষ্টি থামার জন্য তিনজন লোক অপেক্ষা করছে	1.2
126	একটি কুকুর শিংয়ের সাথে তিনটি ভেড়ারকে একত্রে তারিত করতে প্রস্তুত হচ্ছে।	একটি কুকুর এবং ভেড়া একসাথে দওরাচে।	2.2
127	মানুষরা বসে আছে মাতালদের টেবিলে যখন তা্রা হাসি এবং খুসি ছিল।	মানুষ বেঞ্চে বসে আছেন	2.0
128	একটি কুকুর গরু গুলোকে তাড়া করছে	একটি সাদা কুকুর গরু গুলোকে তাড়া করছে	4.0
129	একজন ফুটবল খেলোয়াড় প্রতিপক্ষের দলের একজন খেলোয়াড়কে মোকাবেলা করার চেষ্টা করেছে।	একটি ফুটবল খেলোয়াড় একটি কলাকব্জার চেষ্টা করেছে।	4.6
130	একটি পর্বত সড়কের পাশে তিনজন লোক একটি সুবারু বের করার জন্য খাল শুকাচ্ছে।	দুজন লোক একটি মাটির রাস্তা পাশে একটি যাত্রায় জন্য অপেক্ষা করছে	1.4
131	একজন মহিলা তার হাত উপরে করতে পারছে না কারণ তিনি ঘাড় থেকে নিচ প্রজন্ত পক্ষাঘাতগ্রস্ত 	একজন মহিলা সিঁড়িতে বসে আছেন কারন তিনি হোঁচট খেয়েছেন এবং তার গোড়ালি আঘাত পেয়েছেন।	0.8
132	মানুষেরা একটি রুমে জড়ো হয়েছে	লোকজনেরা একটি কক্ষে একত্রিত হয়েছে।	5.0
133	 সর্বোপরি নারীটি তার প্রাচীরের জন্য একটি ছবি আঁকলো।	একটি মহিলা তার প্রাচীর সাদা রঙ করছে।	2.6
134	পানিতে অ্যাসপিরিং যোগ করার কারণ এ উদ্ভিদ মারা যেতে পারে।	মানুষ পানির তল থেকে তেল সরিয়ে দিতে চেষ্টা করছে।	0.0
135	পাঁচটি শিশু একটি তাঁবুর সামনে দাঁড়িয়ে আছে।	মানুষ গুলো বাইরে একটি বাগানের সামনে বসে আছে।	0.6
136	মেহ্রুন রঙ্গের টি-শার্ট এর মহিলা তান ব্লেজার এর অন্য একটি মহিলার সাথে একটি কথোপকথনে জড়ায় ছিল।	 নীল পোষকের একটি মেয়ে এবং একটি বেগুনি পোষাকের  অন্য মেয়ে, উভয় হাসছে	1.2
137	বেসবল খেলোয়াড় পার্ক এ খেলা করছে ।	বাস্কেটবল খেলোয়াড় সহগৃহ  খেলা খেলছে।	1.6
138	তারা স্কুলে একটি কর্ম প্রদর্শনীর জন্য প্রস্তুতি নিচ্ছে।	 সবুজে দুই চিকিৎসা পেশাদার কিছু একটার খোঁজে আছে।	0.0
139	মহিলাটি হলুদ পরিধান করেছে।	মহিলাটি লাল পরিধান করেছে	2.8
140	কিছু শিশু হাসিমুখে  সমুদ্রের সূর্যাস্তের সামনে দাঁড়িয়ে আছে।	অন্ধকারে মানুষেরা হাঁটছে।	0.6
141	একটি মানুষ তার সাইকেলের উপর কর্মপ্রচেষ্টা করছেন।	একজন মানুষ তার মোটরসাইকেল দিয়ে হুইলিং করছেন।	3.2
142	দশজন মানুষ ATVs চালাচ্ছে।	চারজন মানুষ বাইক চালাচ্ছে	1.6
143	একটি মেঘলা দিনে দুই জেলে রাস্তার পাশে  তাদের বৃহৎ মাছ ধরার জালটি ছাঁটাই করার চেষ্টা করছে।	অনেক মানুষ সমুদ্র সৈকতে একটি মাছ ধরার জাল টেনে তুলছে।	3.0
144	একটি হলুদ পোশাক পরিহিত ব্যক্তি রাস্তাঘাটে কাজ করছেন।	একজন ব্যক্তি তার স্কেটবোর্ডে খুব ভাল করছে।	0.2
145	মহিলার বাদামী চুল ছিল ।	মহিলার ধূসর চুল আছে।	2.4
146	সাদা কালো ঢেউয়ের ছবি মহাসাগরের  তাড়া করছে ।	সমুদ্রের একটি ছোট কালো কুকুর পিছনে কিছু পাথর আছে	0.6
147	একজন মহিলা এবং তার মেয়ে মাইক্রোস্কোপর মধ্যে দিয়ে দেকছে।	একটি মেয়ে এবং একটি মহিলা উভয়ই একটি মাইক্রোস্কোপের মধ্যে দিয়ে দেকছে।	4.6
148	দুজন কর্মীরা দুপুরের খাবার  পাইপের পাশে বসে খাচ্ছে।	নির্মাণ শ্রমিকরা দুপুরের খাবার খাওয়ার জন্য বসে আছেন।	3.8
149	একটি ছেলে শহরের কেন্দ্রস্থলের  সিঁড়িরি উপর স্কেটবোর্ডের কৌসল করেছে।	একটি ছেলে রাস্তার পাশে দওরাছে।	0.6
150	মানুষের একটি দল মরুভূমিতে বসবাস করছে 	মরুভূমির মাঝখানে মানুষের একটি দল আছে।	4.0
151	দুইটি বাচ্চা সাঁতার কাটছে	ছয়টি বাচ্চা সাঁতার কাটতে যাচ্ছে।	2.8
152	তিনজন মানুষ একটি কুকুরকে হাঁটাছে।	তিনজন লোক একটি কুকুরকে হাঁটাছে।	4.8
153	বাহিরে রাস্তায় মানুষ আছে	মানুষরা রাস্তায় বেরিয়েছে	5.0
154	মানুষ তাদের নোংরা কাপড় পরিষ্কার করছে	মানুষ তাদের কাপড় পরিষ্কার করছে।	5.0
155	দুইজন নারী হারিয়ে গেছে এবং সাহায্যের জন্য ডাকছে।	দুইজন এশিয়ান পুরুষ তাদের ব্যবসার জন্য উপকরণ সংগ্রহ করছে এবং তাদের সন্তান্দের তাদের সঙ্গে আসাতে হয়েছে।	0.2
156	একজন মানুষ ঝরনার মধ্যে একটি পয়সা নিক্ষেপ করছে।	একটি ছোট ছেলে জলে একটি মানুষ নিক্ষেপ করছে।	0.6
157	বাচ্চারা বাদ্যযন্ত্র ধরে রেখেছে।	শিশুদের একটি দল গান গাচ্ছে এবং বাদ্যযন্ত্র বাজাছে।	3.4
158	দুই মেয়ে ডাক্তার হওয়ার খেলা তাদের বাড়ির ভিতরে খেলছে।	দুই মেয়ে তাদের বাবার সাথে হাঁটছে।	0.8
159	 পেপাররের নাম্বার লিখা টি-শার্ট পড়ে এক পুরুষদের ভিড় দওর প্রতিযোগিতায় দওরাছে।	শার্ট এর সম্মুখে নাম্বার লিখা অনেক পুরুষ ঘাসের মধ্যে দিয়ে মাঠের নিচে দওরাছে।	3.6
160	একদল মানুষ পুলিশের পোশাক পড়ে আছে গ্রেফতারের কর্মসূচি জন্য  ।	পুলিশ কর্মকর্তাদের একটি দল সুরক্ষা রক্ষক পড়েছে।	2.8
161	 পেটে জারণ প্রতিরোধ করার জন্য ফলগুলিকে লেবুর রস দিয়ে খাওয়া উচিত।	তিন কুকুর একে অপর এর ওপর গর্জন করছে।	0.0
